PRCP       089005 18821001 20180131 missing_value=99999.9 BEAUFORT                                  
19470601 19470630    85.1
19470701 19470731   103.6
19470801 19470831    52.5
19470901 19470930    51.1
19471001 19471031   107.1
19471101 19471130    58.2
19471201 19471231    65.9
19480101 19480131    43.4
19480201 19480229    13.1
19480301 19480331     9.4
19480401 19480430    94.3
19480501 19480531    74.1
19480601 19480630    52.9
19480701 19480731    50.6
19480801 19480831    44.0
19480901 19480930    79.8
19481001 19481031   115.7
19481101 19481130    43.7
19481201 19481231    32.1
19490101 19490131    18.8
19490201 19490228    84.9
19490301 19490331    46.5
19490401 19490430    17.1
19490501 19490531    39.7
19490601 19490630    42.6
19490701 19490731    39.0
19490801 19490831    34.0
19490901 19490930    71.5
19491001 19491031   104.3
19491101 19491130   104.5
19491201 19491231    17.3
19500101 19500131    18.5
19500201 19500228    67.3
19500301 19500331    57.2
19500401 19500430    31.1
19500501 19500531    72.5
19500601 19500630    37.8
19500701 19500731    66.6
19500801 19500831    64.4
19500901 19500930    90.5
19501001 19501031    75.5
19501101 19501130    53.9
19501201 19501231    37.8
19510101 19510131    11.4
19510201 19510228   141.5
19510301 19510331     2.8
19510401 19510430   115.7
19510501 19510531    76.0
19510601 19510630    51.7
19510701 19510731    87.1
19510801 19510831   107.7
19510901 19510930    23.8
19511001 19511031   112.3
19511101 19511130    46.7
19511201 19511231    27.0
19520101 19520131    15.3
19520201 19520229    46.5
19520301 19520331    15.5
19520401 19520430    65.1
19520501 19520531    79.3
19520601 19520630   112.4
19520701 19520731    58.2
19520801 19520831    77.5
19520901 19520930    83.5
19521001 19521031   113.2
19521101 19521130   127.8
19521201 19521231    49.6
19530101 19530131    14.5
19530201 19530228     6.4
19530301 19530331    10.4
19530401 19530430    42.9
19530501 19530531    66.0
19530601 19530630    83.9
19530701 19530731    87.6
19530801 19530831   115.7
19530901 19530930   116.8
19531001 19531031    66.9
19531101 19531130   130.0
19531201 19531231    37.3
19540101 19540131    38.0
19540201 19540228    14.3
19540301 19540331    15.5
19540401 19540430    84.4
19540501 19540531    35.1
19540601 19540630    53.6
19540701 19540731    39.4
19540801 19540831    55.9
19540901 19540930    39.9
19541001 19541031    66.2
19541101 19541130    87.9
19541201 19541231    92.0
19550101 19550131     3.8
19550201 19550228   101.0
19550301 19550331    41.9
19550401 19550430    37.6
19550501 19550531    67.7
19550601 19550630    79.0
19550701 19550731    63.3
19550801 19550831   139.6
19550901 19550930    78.5
19551001 19551031    86.3
19551101 19551130    34.1
19551201 19551231    56.0
19560101 19560131    35.6
19560201 19560229     0.8
19560301 19560331    84.2
19560401 19560430    93.9
19560501 19560531   165.4
19560601 19560630   104.1
19560701 19560731    74.2
19560801 19560831    81.1
19560901 19560930    77.5
19561001 19561031    90.4
19561101 19561130    48.5
19561201 19561231    27.0
19570101 19570131     4.1
19570201 19570228   101.3
19570301 19570331    36.1
19570401 19570430    36.1
19570501 19570531    53.1
19570601 19570630    47.3
19570701 19570731    38.3
19570801 19570831    57.2
19570901 19570930    64.3
19571001 19571031    94.3
19571101 19571130    53.2
19571201 19571231    26.2
19580101 19580131    21.7
19580201 19580228    31.4
19580301 19580331    15.8
19580401 19580430    13.5
19580501 19580531    89.1
19580601 19580630    14.2
19580701 19580731    59.5
19580801 19580831   140.7
19580901 19580930    62.7
19581001 19581031    99.6
19581101 19581130    48.4
19581201 19581231    24.2
19590101 19590131    19.8
19590201 19590228    60.9
19590301 19590331    59.0
19590401 19590430    41.6
19590501 19590531    18.9
19590601 19590630    55.4
19590701 19590731    44.4
19590801 19590831    71.3
19590901 19590930    57.4
19591001 19591031    47.3
19591101 19591130    30.7
19591201 19591231    97.5
19600101 19600131    42.6
19600201 19600229    60.7
19600301 19600331    25.9
19600401 19600430   129.1
19600501 19600531   146.7
19600601 19600630    54.1
19600701 19600731   114.9
19600801 19600831    78.9
19600901 19600930   118.7
19601001 19601031    36.7
19601101 19601130   106.9
19601201 19601231    31.6
19610101 19610131     9.4
19610201 19610228    28.5
19610301 19610331    27.7
19610401 19610430    75.1
19610501 19610531    44.4
19610601 19610630    60.4
19610701 19610731    90.1
19610801 19610831    68.5
19610901 19610930    25.1
19611001 19611031    50.9
19611101 19611130    40.3
19611201 19611231    60.0
19620101 19620131    34.5
19620201 19620228    19.3
19620301 19620331    42.8
19620401 19620430    17.8
19620501 19620531    58.9
19620601 19620630    89.5
19620701 19620731    40.4
19620801 19620831    59.6
19620901 19620930    90.3
19621001 19621031   101.5
