PRCP       048039 18911201 20150630 missing_value=99999.9 ENNGONIA (SHEARER STREET)                 
19461001 19461031     0.0
19461101 19461130    10.1
19461201 19461231    74.7
19470101 19470131     6.4
19470201 19470228   164.1
19470301 19470331    16.5
19470401 19470430     2.8
19470501 19470531    24.4
19470601 19470630    23.4
19470701 19470731    22.4
19470801 19470831    37.6
19470901 19470930    43.5
19471001 19471031    39.1
19471101 19471130    35.6
19471201 19471231    34.2
19480101 19480131    10.7
19480201 19480229   110.6
19480301 19480331     3.3
19480401 19480430     0.0
19480501 19480531    47.3
19480601 19480630    71.5
19480701 19480731     4.1
19480801 19480831     3.8
19480901 19480930    31.5
19481001 19481031     0.8
19481101 19481130     4.3
19481201 19481231    23.6
19490101 19490131     6.1
19490201 19490228    78.2
19490301 19490331   132.2
19490401 19490430    41.2
19490501 19490531    21.0
19490601 19490630     8.6
19490701 19490731     7.1
19490801 19490831     2.1
19490901 19490930    49.3
19491001 19491031    59.3
19491101 19491130    38.8
19491201 19491231     0.0
19500101 19500131    31.3
19500201 19500228    74.8
19500301 19500331   230.9
19500401 19500430   100.1
19500501 19500531    24.1
19500601 19500630    64.3
19500701 19500731    65.4
19500801 19500831     3.3
19500901 19500930    25.4
19501001 19501031   119.3
19501101 19501130   194.4
19501201 19501231     0.0
19510101 19510131     5.1
19510201 19510228     0.8
19510301 19510331    15.2
19510401 19510430     0.5
19510501 19510531    13.5
19510601 19510630    50.1
19510701 19510731     0.0
19510801 19510831    11.9
19510901 19510930    13.4
19511001 19511031    19.1
19511101 19511130    14.0
19511201 19511231    12.7
19520101 19520131    10.6
19520201 19520229    40.7
19520301 19520331    80.3
19520401 19520430    30.5
19520501 19520531    14.7
19520601 19520630     0.5
19520701 19520731    39.3
19520801 19520831    24.6
19520901 19520930     0.8
19521001 19521031    36.2
19521101 19521130    16.5
19521201 19521231    22.9
19530101 19530131    40.2
19530201 19530228    60.1
19530301 19530331     4.1
19530401 19530430    55.9
19530501 19530531    23.1
19530601 19530630     0.0
19530701 19530731     0.0
19530801 19530831    22.6
19530901 19530930     8.9
19531001 19531031    63.5
19531101 19531130    39.3
19531201 19531231    11.4
19540101 19540131    41.4
19540201 19540228    30.5
19540301 19540331     0.0
19540401 19540430     0.0
19540501 19540531     0.0
19540601 19540630    40.7
19540701 19540731    57.2
19540801 19540831    15.2
19540901 19540930     7.1
19541001 19541031    49.9
19541101 19541130     8.6
19541201 19541231    39.9
19550101 19550131    28.7
19550201 19550228   112.3
19550301 19550331    24.2
19550401 19550430    71.2
19550501 19550531    24.4
19550601 19550630     6.6
19550701 19550731    48.8
19550801 19550831    12.7
19550901 19550930     0.0
19551001 19551031   176.2
19551101 19551130    32.1
19551201 19551231     7.4
19560101 19560131    85.1
19560201 19560229   134.6
19560301 19560331   175.8
19560401 19560430     6.1
19560501 19560531    51.9
19560601 19560630    23.2
19560701 19560731    79.0
19560801 19560831     0.0
19560901 19560930    11.8
19561001 19561031    33.4
19561101 19561130     4.8
19561201 19561231    27.9
19570101 19570131     0.0
19570201 19570228    52.3
19570301 19570331    23.1
19570401 19570430     7.4
19570501 19570531     0.0
19570601 19570630    21.4
19570701 19570731     2.0
