PRCP       009739 19010801 20180131 missing_value=99999.9 WELCOME DOWNS                             
19590701 19590731    32.4
19590801 19590831    57.9
19590901 19590930    92.3
19591001 19591031    30.4
19591101 19591130   106.4
19591201 19591231     2.8
19600101 19600131    11.6
19600201 19600229     0.0
19600301 19600331    18.2
19600401 19600430    67.8
19600501 19600531    58.9
19600601 19600630    66.6
19600701 19600731   116.1
19600801 19600831    45.3
19600901 19600930    47.4
19601001 19601031     9.8
19601101 19601130     4.6
19601201 19601231    15.1
19610101 19610131    70.4
19610201 19610228     0.0
19610301 19610331    20.1
19610401 19610430   143.1
19610501 19610531    60.4
19610601 19610630    90.6
19610701 19610731   115.5
19610801 19610831    70.1
19610901 19610930    32.4
19611001 19611031    13.3
19611101 19611130     0.0
19611201 19611231    39.8
19620101 19620131     1.1
19620201 19620228    36.6
19620301 19620331    28.2
19620401 19620430    12.7
19620501 19620531    86.7
19620601 19620630    40.6
19620701 19620731    65.0
19620801 19620831    73.6
19620901 19620930    75.2
19621001 19621031    42.9
19621101 19621130    11.6
19621201 19621231    13.1
19630101 19630131    60.8
19630201 19630228    65.8
19630301 19630331    39.9
19630401 19630430    46.3
19630501 19630531    78.5
19630601 19630630    71.6
19630701 19630731    91.3
19630801 19630831    73.8
19630901 19630930    35.6
19631001 19631031    24.0
19631101 19631130    15.3
19631201 19631231    10.2
19640101 19640131    42.3
19640201 19640229     5.6
19640301 19640331    17.4
19640401 19640430    40.7
19640501 19640531    21.9
19640601 19640630    75.6
19640701 19640731   113.4
19640801 19640831    55.0
19640901 19640930   113.5
19641001 19641031    86.0
19641101 19641130    24.0
19641201 19641231     4.4
19650101 19650131     3.4
19650201 19650228     8.9
19650301 19650331    39.1
19650401 19650430    13.1
19650501 19650531   102.4
19650601 19650630    71.2
19650701 19650731    36.5
19650801 19650831   108.1
19650901 19650930    33.1
19651001 19651031    48.8
19651101 19651130    59.5
19651201 19651231    12.8
19660101 19660131    63.6
19660201 19660228    20.9
19660301 19660331    12.5
19660401 19660430    47.0
19660501 19660531    45.1
19660601 19660630   137.8
19660701 19660731    73.9
19660801 19660831    53.1
19660901 19660930    87.3
19661001 19661031    52.7
19661101 19661130    10.4
19661201 19661231    44.8
19670101 19670131    15.3
19670201 19670228     6.7
19670301 19670331    19.7
19670401 19670430    32.6
19670501 19670531    70.8
19670601 19670630    47.5
19670701 19670731    94.3
19670801 19670831    74.1
19670901 19670930    21.6
19671001 19671031    39.1
19671101 19671130     7.9
19671201 19671231    28.4
19680101 19680131    33.0
19680201 19680229     4.9
19680301 19680331    43.3
19680401 19680430    54.7
19680501 19680531    54.4
19680601 19680630   122.7
19680701 19680731    56.5
19680801 19680831   175.7
19680901 19680930    74.3
19681001 19681031    30.4
19681101 19681130    58.0
19681201 19681231    28.7
19690101 19690131     8.2
19690201 19690228    17.1
19690301 19690331    11.7
19690401 19690430    15.3
19690501 19690531    38.3
19690601 19690630    48.4
19690701 19690731    74.9
19690801 19690831    47.1
19690901 19690930    36.4
19691001 19691031    56.8
19691101 19691130    19.0
19691201 19691231    11.4
19700101 19700131     2.8
19700201 19700228    70.7
19700301 19700331    11.7
19700401 19700430   108.1
19700501 19700531    48.4
19700601 19700630    44.3
19700701 19700731    28.2
19700801 19700831    60.6
19700901 19700930    85.7
19701001 19701031    13.0
19701101 19701130    18.6
19701201 19701231     7.2
19710101 19710131    23.4
19710201 19710228     2.6
19710301 19710331    66.2
19710401 19710430    57.7
19710501 19710531   116.9
19710601 19710630    66.3
19710701 19710731    56.8
19710801 19710831   100.7
19710901 19710930    61.4
19711001 19711031    81.8
19711101 19711130    90.6
