PRCP       044026 18790101 20180131 missing_value=99999.9 CUNNAMULLA POST OFFICE                    
19260101 19260131    27.7
19260201 19260228     0.0
19260301 19260331    95.3
19260401 19260430    30.0
19260501 19260531    76.2
19260601 19260630     3.8
19260701 19260731    22.1
19260801 19260831     2.3
19260901 19260930   119.2
19261001 19261031     0.0
19261101 19261130     2.5
19261201 19261231    28.4
19270101 19270131    71.1
19270201 19270228     0.0
19270301 19270331    17.0
19270401 19270430     2.6
19270501 19270531     5.1
19270601 19270630    20.0
19270701 19270731     0.0
19270801 19270831     0.0
19270901 19270930    10.9
19271001 19271031    17.7
19271101 19271130    26.6
19271201 19271231    76.0
19280101 19280131    24.8
19280201 19280229   116.3
19280301 19280331    32.3
19280401 19280430    37.3
19280501 19280531     1.3
19280601 19280630    25.5
19280701 19280731     9.6
19280801 19280831     0.0
19280901 19280930     0.0
19281001 19281031     0.8
19281101 19281130    22.1
19281201 19281231     6.6
19290101 19290131     1.5
19290201 19290228    14.0
19290301 19290331    22.3
19290401 19290430    37.3
19290501 19290531     0.0
19290601 19290630    17.8
19290701 19290731     0.5
19290801 19290831     2.8
19290901 19290930     4.4
19291001 19291031     0.0
19291101 19291130    25.3
19291201 19291231     8.7
19300101 19300131    77.2
19300201 19300228    16.5
19300301 19300331     2.3
19300401 19300430    40.7
19300501 19300531    29.5
19300601 19300630    85.9
19300701 19300731    48.6
19300801 19300831     3.8
19300901 19300930    11.2
19301001 19301031    39.8
19301101 19301130    38.8
19301201 19301231    60.2
19310101 19310131     4.0
19310201 19310228     1.8
19310301 19310331    63.2
19310401 19310430    17.7
19310501 19310531   114.3
19310601 19310630    55.8
19310701 19310731    10.1
19310801 19310831     0.0
19310901 19310930     9.9
19311001 19311031     2.0
19311101 19311130    56.1
19311201 19311231   116.4
19320101 19320131    17.7
19320201 19320229    38.2
19320301 19320331    10.5
19320401 19320430    44.2
19320501 19320531    65.0
19320601 19320630    28.1
19320701 19320731    10.7
19320801 19320831     1.3
19320901 19320930     1.3
19321001 19321031     2.6
19321101 19321130    22.1
19321201 19321231     0.0
19330101 19330131     5.6
19330201 19330228    69.6
19330301 19330331    10.1
19330401 19330430     5.9
19330501 19330531    13.2
