PRCP       055055 18910101 20080831 missing_value=99999.9 CARROLL (THE RANCH)                       
19680701 19680731    52.0
19680801 19680831    84.0
19680901 19680930    58.9
19681001 19681031    23.7
19681101 19681130    17.5
19681201 19681231    76.6
19690101 19690131    88.6
19690201 19690228    78.5
19690301 19690331    64.3
19690401 19690430    52.5
19690501 19690531    54.3
19690601 19690630    46.8
19690701 19690731    52.1
19690801 19690831    55.4
19690901 19690930    28.0
19691001 19691031   125.0
19691101 19691130   107.2
19691201 19691231    95.1
19700101 19700131    92.0
19700201 19700228   103.8
19700301 19700331    15.0
19700401 19700430    49.3
19700501 19700531     8.7
19700601 19700630    13.4
19700701 19700731     2.1
19700801 19700831    21.2
19700901 19700930   110.5
19701001 19701031    41.9
19701101 19701130    69.2
19701201 19701231   188.9
19710101 19710131   148.2
19710201 19710228   209.0
19710301 19710331     5.6
19710401 19710430     2.8
19710501 19710531     2.9
19710601 19710630     2.1
19710701 19710731    65.8
19710801 19710831    61.6
19710901 19710930    64.2
19711001 19711031    10.2
19711101 19711130    58.5
19711201 19711231    73.7
19720101 19720131   111.4
19720201 19720229    26.9
19720301 19720331    13.8
19720401 19720430    42.7
19720501 19720531    38.0
19720601 19720630    10.4
19720701 19720731     5.4
19720801 19720831    23.0
19720901 19720930    15.8
19721001 19721031   126.2
19721101 19721130    90.1
19721201 19721231    41.5
19730101 19730131    81.0
19730201 19730228    91.9
19730301 19730331    11.3
19730401 19730430     9.4
19730501 19730531    25.1
19730601 19730630    34.2
19730701 19730731    45.7
19730801 19730831    58.4
19730901 19730930    50.6
19731001 19731031    93.4
19731101 19731130   114.7
19731201 19731231    88.1
19740101 19740131   205.0
19740201 19740228     7.2
19740301 19740331     4.8
19740401 19740430    65.8
19740501 19740531    47.4
19740601 19740630    12.0
19740701 19740731    20.8
19740801 19740831    42.2
19740901 19740930    15.4
19741001 19741031    59.6
19741101 19741130    65.0
19741201 19741231     3.0
19750101 19750131    75.6
19750201 19750228   134.6
19750301 19750331    63.0
19750401 19750430    19.6
19750501 19750531     0.8
19750601 19750630    65.6
19750701 19750731    35.8
19750801 19750831    25.2
19750901 19750930    41.1
19751001 19751031    41.7
19751101 19751130    29.8
19751201 19751231    49.6
19760101 19760131   274.6
19760201 19760229   190.0
19760301 19760331    43.6
19760401 19760430    10.8
19760501 19760531    12.4
19760601 19760630    52.0
19760701 19760731    63.2
19760801 19760831    12.2
19760901 19760930    18.0
19761001 19761031    61.4
19761101 19761130    44.8
19761201 19761231    36.4
19770101 19770131   174.4
19770201 19770228   122.6
19770301 19770331   115.0
19770401 19770430    81.6
19770501 19770531   144.8
19770601 19770630    29.4
19770701 19770731     3.6
19770801 19770831    14.4
19770901 19770930    26.2
19771001 19771031    27.0
19771101 19771130    24.6
19771201 19771231    33.2
19780101 19780131   279.0
19780201 19780228    66.4
19780301 19780331    40.2
19780401 19780430    26.0
19780501 19780531    51.0
19780601 19780630    76.0
19780701 19780731    56.0
19780801 19780831    25.4
19780901 19780930    74.6
19781001 19781031    18.6
19781101 19781130   119.4
19781201 19781231   156.2
19790101 19790131    28.4
19790201 19790228    12.8
19790301 19790331   105.8
19790401 19790430     9.8
19790501 19790531    68.0
19790601 19790630    36.0
19790701 19790731    10.0
19790801 19790831    15.8
19790901 19790930    60.8
19791001 19791031    37.6
19791101 19791130    91.4
19791201 19791231    15.0
19800101 19800131   109.2
19800201 19800229    10.6
19800301 19800331    21.0
19800401 19800430     2.4
19800501 19800531    81.2
19800601 19800630    36.3
19800701 19800731    31.7
19800801 19800831    11.6
19800901 19800930     0.2
19801001 19801031    54.0
19801101 19801130     4.2
19801201 19801231    28.4
19810101 19810131     4.2
19810201 19810228   125.4
19810301 19810331     0.0
19810401 19810430    42.4
19810501 19810531    53.8
19810601 19810630    68.0
19810701 19810731    80.4
19810801 19810831    17.0
19810901 19810930    25.2
19811001 19811031    82.4
19811101 19811130    37.9
19811201 19811231    43.6
19820101 19820131    58.1
19820201 19820228    34.6
19820301 19820331   165.2
19820401 19820430     1.7
19820501 19820531    12.8
19820601 19820630    17.0
19820701 19820731    19.4
19820801 19820831     0.2
19820901 19820930    16.0
19821001 19821031    15.0
19821101 19821130     6.0
19821201 19821231    75.2
19830101 19830131   107.9
19830201 19830228    54.0
19830301 19830331    27.0
19830401 19830430   101.1
19830501 19830531   128.2
19830601 19830630    29.8
19830701 19830731    41.4
19830801 19830831    34.6
19830901 19830930    75.8
19831001 19831031    46.0
19831101 19831130    82.4
19831201 19831231    54.4
19840101 19840131   226.8
19840201 19840229    83.0
19840301 19840331    53.8
19840401 19840430    42.6
19840501 19840531     2.8
19840601 19840630     1.0
19840701 19840731   129.0
19840801 19840831    18.3
19840901 19840930    42.6
19841001 19841031    14.5
19841101 19841130   174.6
19841201 19841231    63.6
19850101 19850131    12.2
19850201 19850228    36.6
19850301 19850331    16.0
19850401 19850430    41.2
19850501 19850531    19.6
19850601 19850630    30.6
19850701 19850731    10.0
19850801 19850831    81.2
19850901 19850930    39.0
19851001 19851031    70.2
19851101 19851130    66.6
19851201 19851231   127.6
19860101 19860131    58.8
19860201 19860228     3.2
19860301 19860331     5.6
19860401 19860430    13.0
19860501 19860531    86.8
19860601 19860630     2.6
19860701 19860731   162.2
19860801 19860831    34.4
19860901 19860930    48.0
19861001 19861031    27.6
19861101 19861130    40.0
19861201 19861231    18.4
