PRCP       007169 19361201 20111031 missing_value=99999.9 RHODES RIDGE                              
19930601 19930630    53.6
19930701 19930731     2.4
19930801 19930831    38.4
19930901 19930930     0.0
19931001 19931031     0.0
19931101 19931130     7.0
19931201 19931231     5.0
19940101 19940131    11.2
19940201 19940228    98.9
19940301 19940331     0.0
19940401 19940430     6.0
19940501 19940531     0.0
19940601 19940630     9.0
19940701 19940731     0.0
19940801 19940831     0.0
19940901 19940930     0.0
19941001 19941031     0.4
19941101 19941130     0.2
19941201 19941231   116.4
19950101 19950131    11.8
19950201 19950228   222.8
19950301 19950331    97.2
19950401 19950430    54.2
19950501 19950531    17.4
19950601 19950630    50.6
19950701 19950731    29.0
19950801 19950831     0.0
19950901 19950930     1.7
19951001 19951031     0.0
19951101 19951130    11.6
19951201 19951231   113.0
19960101 19960131    18.8
19960201 19960229     1.1
19960301 19960331    43.6
19960401 19960430    54.8
19960501 19960531     2.0
19960601 19960630     8.2
19960701 19960731    30.6
19960801 19960831     7.8
19960901 19960930     0.0
19961001 19961031    17.8
19961101 19961130     8.0
19961201 19961231    48.4
19970101 19970131   284.6
19970201 19970228   215.0
19970301 19970331    17.6
19970401 19970430    91.8
19970501 19970531    51.3
19970601 19970630     0.0
19970701 19970731     5.0
19970801 19970831    19.8
19970901 19970930     7.4
19971001 19971031    16.6
19971101 19971130     0.0
19971201 19971231     9.5
19980101 19980131     2.2
19980201 19980228    67.0
19980301 19980331    12.8
19980401 19980430    13.5
19980501 19980531     3.2
19980601 19980630    61.9
19980701 19980731    76.0
19980801 19980831    52.2
19980901 19980930     0.0
19981001 19981031     0.0
19981101 19981130    45.7
19981201 19981231 99999.9
19990101 19990131    60.7
19990201 19990228   172.7
19990301 19990331   106.1
19990401 19990430    69.2
19990501 19990531    77.5
19990601 19990630     3.0
19990701 19990731     6.1
19990801 19990831     0.4
19990901 19990930     0.0
19991001 19991031    11.6
19991101 19991130     4.2
19991201 19991231   260.2
20000101 20000131   202.5
20000201 20000229   232.8
20000301 20000331   281.7
20000401 20000430    81.3
20000501 20000531     3.2
20000601 20000630     0.0
20000701 20000731     0.8
20000801 20000831     0.0
20000901 20000930     0.0
20001001 20001031     0.0
20001101 20001130    11.4
20001201 20001231    47.7
20010101 20010131    75.4
20010201 20010228   201.4
20010301 20010331     3.0
20010401 20010430    51.9
20010501 20010531    19.6
20010601 20010630     9.6
20010701 20010731    35.1
20010801 20010831     0.0
20010901 20010930     4.6
20011001 20011031     5.2
20011101 20011130     0.8
20011201 20011231     0.0
20020101 20020131    71.4
20020201 20020228   212.7
20020301 20020331    38.8
20020401 20020430     7.2
20020501 20020531    13.1
20020601 20020630     6.0
20020701 20020731     0.0
20020801 20020831     0.0
20020901 20020930     0.0
20021001 20021031     0.0
20021101 20021130     3.0
20021201 20021231    35.7
20030101 20030131   292.5
20030201 20030228    38.4
20030301 20030331    38.0
20030401 20030430    48.7
20030501 20030531     0.4
20030601 20030630    26.8
20030701 20030731     0.0
20030801 20030831    15.0
20030901 20030930     0.0
20031001 20031031     0.0
20031101 20031130 99999.9
20031201 20031231 99999.9
20040101 20040131 99999.9
20040201 20040229 99999.9
20040301 20040331   107.0
20040401 20040430 99999.9
20040501 20040531 99999.9
20040601 20040630 99999.9
20040701 20040731 99999.9
20040801 20040831 99999.9
20040901 20040930 99999.9
20041001 20041031 99999.9
20041101 20041130 99999.9
20041201 20041231 99999.9
20050101 20050131 99999.9
20050201 20050228 99999.9
20050301 20050331 99999.9
20050401 20050430 99999.9
20050501 20050531 99999.9
20050601 20050630 99999.9
20050701 20050731 99999.9
20050801 20050831 99999.9
20050901 20050930 99999.9
20051001 20051031 99999.9
20051101 20051130 99999.9
20051201 20051231 99999.9
20060101 20060131 99999.9
20060201 20060228 99999.9
20060301 20060331 99999.9
20060401 20060430 99999.9
20060501 20060531 99999.9
20060601 20060630 99999.9
20060701 20060731 99999.9
20060801 20060831 99999.9
20060901 20060930 99999.9
20061001 20061031 99999.9
20061101 20061130 99999.9
20061201 20061231 99999.9
20070101 20070131 99999.9
20070201 20070228 99999.9
20070301 20070331 99999.9
20070401 20070430 99999.9
20070501 20070531 99999.9
20070601 20070630 99999.9
20070701 20070731 99999.9
20070801 20070831 99999.9
20070901 20070930 99999.9
20071001 20071031 99999.9
20071101 20071130 99999.9
20071201 20071231    46.0
20080101 20080131    61.0
20080201 20080229 99999.9
20080301 20080331 99999.9
20080401 20080430 99999.9
20080501 20080531 99999.9
20080601 20080630 99999.9
20080701 20080731 99999.9
20080801 20080831 99999.9
20080901 20080930 99999.9
20081001 20081031 99999.9
20081101 20081130 99999.9
20081201 20081231 99999.9
20090101 20090131 99999.9
20090201 20090228 99999.9
20090301 20090331 99999.9
20090401 20090430 99999.9
20090501 20090531 99999.9
20090601 20090630 99999.9
20090701 20090731 99999.9
20090801 20090831 99999.9
20090901 20090930 99999.9
20091001 20091031 99999.9
20091101 20091130 99999.9
20091201 20091231 99999.9
20100101 20100131    21.6
20100201 20100228     0.0
20100301 20100331     4.5
20100401 20100430    31.5
20100501 20100531    30.0
20100601 20100630     2.0
20100701 20100731     6.5
