PRCP       014042 19100901 20130430 missing_value=99999.9 OENPELLI                                  
19930701 19930731     0.0
19930801 19930831     0.0
19930901 19930930     2.2
19931001 19931031     5.0
19931101 19931130   110.7
19931201 19931231   164.5
19940101 19940131   203.8
19940201 19940228   255.2
19940301 19940331   239.0
19940401 19940430   105.4
19940501 19940531     4.1
19940601 19940630     0.0
19940701 19940731     0.0
19940801 19940831     0.0
19940901 19940930     0.0
19941001 19941031    13.0
19941101 19941130    12.5
19941201 19941231   304.6
19950101 19950131   750.1
19950201 19950228   478.0
19950301 19950331   275.0
19950401 19950430   162.2
19950501 19950531     3.3
19950601 19950630     0.6
19950701 19950731     0.0
19950801 19950831     0.0
19950901 19950930     0.0
19951001 19951031    34.1
19951101 19951130    61.9
19951201 19951231   257.0
19960101 19960131   213.6
19960201 19960229   243.8
19960301 19960331   186.8
19960401 19960430   240.5
19960501 19960531     5.4
19960601 19960630     0.0
19960701 19960731     0.0
19960801 19960831     0.0
19960901 19960930     0.0
19961001 19961031     5.7
19961101 19961130    87.8
19961201 19961231   329.5
19970101 19970131   549.6
19970201 19970228   317.0
19970301 19970331   234.7
19970401 19970430     2.9
19970501 19970531     5.1
19970601 19970630     0.0
19970701 19970731     0.0
19970801 19970831     0.0
19970901 19970930     0.0
19971001 19971031    14.4
19971101 19971130   104.9
19971201 19971231   258.7
19980101 19980131   522.1
19980201 19980228   328.9
19980301 19980331   121.1
19980401 19980430   191.6
19980501 19980531    13.3
19980601 19980630     0.0
19980701 19980731     0.0
19980801 19980831     1.5
19980901 19980930     8.0
19981001 19981031    60.3
19981101 19981130   156.0
19981201 19981231   336.7
19990101 19990131   245.5
19990201 19990228   368.5
19990301 19990331   309.4
19990401 19990430   132.6
19990501 19990531     0.0
19990601 19990630     1.0
19990701 19990731     0.0
19990801 19990831     0.0
19990901 19990930     0.0
19991001 19991031    10.7
19991101 19991130   216.6
19991201 19991231   268.5
20000101 20000131   269.4
20000201 20000229   308.2
20000301 20000331   340.8
20000401 20000430   192.7
20000501 20000531    59.6
20000601 20000630     0.8
20000701 20000731     0.0
20000801 20000831     0.0
20000901 20000930     0.0
20001001 20001031    37.8
20001101 20001130   297.8
20001201 20001231   266.4
20010101 20010131   499.8
20010201 20010228   458.4
20010301 20010331   367.2
20010401 20010430   136.6
20010501 20010531     0.6
20010601 20010630     0.0
20010701 20010731     0.0
20010801 20010831     0.0
20010901 20010930     0.0
20011001 20011031    37.4
20011101 20011130   187.7
20011201 20011231   162.6
20020101 20020131 99999.9
20020201 20020228   658.0
20020301 20020331   216.9
20020401 20020430    31.7
20020501 20020531     0.0
20020601 20020630     0.0
20020701 20020731     0.0
20020801 20020831     0.0
20020901 20020930     0.6
20021001 20021031    38.8
20021101 20021130    88.6
20021201 20021231   165.6
20030101 20030131   410.4
20030201 20030228   561.6
20030301 20030331   328.0
20030401 20030430     1.2
20030501 20030531     1.2
20030601 20030630     0.0
20030701 20030731     0.0
20030801 20030831     0.0
20030901 20030930     5.4
20031001 20031031     0.0
20031101 20031130    79.5
20031201 20031231   402.6
20040101 20040131   493.8
20040201 20040229   398.2
20040301 20040331   361.4
20040401 20040430    14.8
20040501 20040531   117.4
20040601 20040630    11.0
20040701 20040731     0.0
20040801 20040831     0.0
20040901 20040930     0.0
20041001 20041031     0.2
20041101 20041130    39.0
20041201 20041231   248.6
20050101 20050131   272.7
20050201 20050228   205.6
20050301 20050331   392.5
20050401 20050430    31.8
20050501 20050531     1.2
20050601 20050630     0.0
20050701 20050731     0.0
20050801 20050831     0.0
20050901 20050930     4.6
20051001 20051031    33.0
20051101 20051130   177.2
20051201 20051231   210.3
20060101 20060131   494.8
20060201 20060228   192.9
20060301 20060331   382.1
20060401 20060430   401.7
20060501 20060531     0.2
20060601 20060630     0.0
20060701 20060731     0.2
20060801 20060831     0.0
20060901 20060930     0.0
20061001 20061031     0.0
