PRCP       015593 19501001 20080430 missing_value=99999.9 ALCOOTA                                   
19910601 19910630    26.6
19910701 19910731     6.4
19910801 19910831     0.0
19910901 19910930     0.0
19911001 19911031     0.0
19911101 19911130    15.6
19911201 19911231    16.0
19920101 19920131    20.6
19920201 19920229    22.4
19920301 19920331    11.0
19920401 19920430     3.6
19920501 19920531   100.6
19920601 19920630     1.6
19920701 19920731     0.0
19920801 19920831    17.0
19920901 19920930    16.4
19921001 19921031    26.2
19921101 19921130    24.4
19921201 19921231    24.2
19930101 19930131    40.4
19930201 19930228    58.2
19930301 19930331    48.6
19930401 19930430     0.0
19930501 19930531    60.0
19930601 19930630    40.0
19930701 19930731     0.0
19930801 19930831     1.6
19930901 19930930    26.4
19931001 19931031    12.8
19931101 19931130    24.8
19931201 19931231    30.0
19940101 19940131     5.0
19940201 19940228    33.2
19940301 19940331     0.0
19940401 19940430     0.0
19940501 19940531     0.0
19940601 19940630     0.0
19940701 19940731     0.0
19940801 19940831     0.0
19940901 19940930     0.0
19941001 19941031     0.0
19941101 19941130    16.0
19941201 19941231    10.0
19950101 19950131   180.6
19950201 19950228     2.0
19950301 19950331    83.0
19950401 19950430     0.0
19950501 19950531     0.0
19950601 19950630     0.0
19950701 19950731     9.2
19950801 19950831     0.0
19950901 19950930     0.0
19951001 19951031    33.0
19951101 19951130    15.0
19951201 19951231   131.0
19960101 19960131    13.0
19960201 19960229     3.0
19960301 19960331    34.0
19960401 19960430    31.0
19960501 19960531     0.0
19960601 19960630     0.0
19960701 19960731    13.0
19960801 19960831     0.0
19960901 19960930     0.0
19961001 19961031     7.0
19961101 19961130     2.0
19961201 19961231    33.0
19970101 19970131   207.9
19970201 19970228   117.0
19970301 19970331     0.0
19970401 19970430     0.0
19970501 19970531    24.0
19970601 19970630     0.0
19970701 19970731     0.0
19970801 19970831     0.0
19970901 19970930     0.0
19971001 19971031     0.0
19971101 19971130     6.1
19971201 19971231    42.0
19980101 19980131    17.6
19980201 19980228    78.1
19980301 19980331     0.0
19980401 19980430   120.8
19980501 19980531     0.0
19980601 19980630     0.0
19980701 19980731     6.0
19980801 19980831     0.0
19980901 19980930     5.0
19981001 19981031    62.5
19981101 19981130    46.4
19981201 19981231    25.0
19990101 19990131    22.2
19990201 19990228     0.0
19990301 19990331     0.0
19990401 19990430     0.0
19990501 19990531     0.0
19990601 19990630    46.2
19990701 19990731     0.0
19990801 19990831     0.0
19990901 19990930    11.0
19991001 19991031    84.1
19991101 19991130    34.5
19991201 19991231    83.6
20000101 20000131    17.0
20000201 20000229   277.7
20000301 20000331    12.8
20000401 20000430   211.2
20000501 20000531     9.1
20000601 20000630     0.0
20000701 20000731     0.0
20000801 20000831     0.0
20000901 20000930     0.0
20001001 20001031     0.0
20001101 20001130    47.4
20001201 20001231    87.0
20010101 20010131   127.7
20010201 20010228    30.0
20010301 20010331   111.8
20010401 20010430     0.0
20010501 20010531     0.0
20010601 20010630     0.0
20010701 20010731     0.0
20010801 20010831     0.0
20010901 20010930     0.0
20011001 20011031    92.8
20011101 20011130    71.6
20011201 20011231   122.0
20020101 20020131     0.0
20020201 20020228    57.6
20020301 20020331     0.0
20020401 20020430     0.0
20020501 20020531     0.0
20020601 20020630     0.0
20020701 20020731     0.0
20020801 20020831     0.0
20020901 20020930     0.0
20021001 20021031     0.0
20021101 20021130   109.1
20021201 20021231     0.0
20030101 20030131    40.0
20030201 20030228    38.6
20030301 20030331     0.0
20030401 20030430     0.0
20030501 20030531     0.0
20030601 20030630     0.0
20030701 20030731     0.0
20030801 20030831     0.0
20030901 20030930     0.0
20031001 20031031    24.0
20031101 20031130     0.0
20031201 20031231     0.0
20040101 20040131    41.0
20040201 20040229    53.5
20040301 20040331     0.0
20040401 20040430     0.0
20040501 20040531   106.4
