PRCP       036051 18970101 20060831 missing_value=99999.9 WESTLAND                                  
19830401 19830430    62.0
19830501 19830531    46.4
19830601 19830630    43.6
19830701 19830731     2.0
19830801 19830831    20.4
19830901 19830930     4.2
19831001 19831031     1.4
19831101 19831130    57.2
19831201 19831231    39.2
19840101 19840131   157.2
19840201 19840229    12.0
19840301 19840331     6.4
19840401 19840430     0.0
19840501 19840531     0.0
19840601 19840630     0.0
19840701 19840731    59.0
19840801 19840831     4.4
19840901 19840930     4.6
19841001 19841031    11.6
19841101 19841130     7.0
19841201 19841231    61.5
19850101 19850131     0.0
19850201 19850228     5.0
19850301 19850331     0.0
19850401 19850430     0.4
19850501 19850531     0.0
19850601 19850630    33.6
19850701 19850731     6.5
19850801 19850831    36.2
19850901 19850930     0.8
19851001 19851031    53.3
19851101 19851130    55.4
19851201 19851231    35.0
19860101 19860131    19.4
19860201 19860228   118.0
19860301 19860331     0.0
19860401 19860430    32.0
19860501 19860531     5.8
19860601 19860630     7.0
19860701 19860731    34.7
19860801 19860831    26.0
19860901 19860930     0.0
19861001 19861031    40.1
19861101 19861130     5.5
19861201 19861231    82.5
19870101 19870131   181.9
19870201 19870228    40.0
19870301 19870331    19.6
19870401 19870430     3.0
19870501 19870531    29.5
19870601 19870630    58.0
19870701 19870731     0.0
19870801 19870831     1.4
19870901 19870930     2.5
19871001 19871031    11.0
19871101 19871130    15.0
19871201 19871231    17.0
19880101 19880131     0.0
19880201 19880229     6.0
19880301 19880331     3.0
19880401 19880430    50.5
19880501 19880531    30.5
19880601 19880630     0.0
19880701 19880731    49.0
19880801 19880831    12.5
19880901 19880930     5.0
19881001 19881031     0.0
19881101 19881130     1.5
19881201 19881231    55.5
19890101 19890131    15.5
19890201 19890228   120.0
19890301 19890331    23.0
19890401 19890430   346.0
19890501 19890531   461.5
19890601 19890630    52.0
19890701 19890731    10.0
19890801 19890831     0.0
19890901 19890930     0.0
19891001 19891031    24.0
19891101 19891130   132.5
19891201 19891231     1.5
19900101 19900131    11.5
19900201 19900228    45.5
19900301 19900331   131.5
19900401 19900430   484.5
19900501 19900531   124.0
19900601 19900630    20.0
19900701 19900731     0.0
19900801 19900831     0.0
19900901 19900930     0.0
19901001 19901031    10.0
19901101 19901130     0.0
19901201 19901231    19.0
19910101 19910131   120.0
19910201 19910228   189.0
19910301 19910331     0.0
19910401 19910430     5.0
19910501 19910531     0.0
19910601 19910630    17.0
19910701 19910731     2.0
19910801 19910831     0.0
19910901 19910930     0.0
19911001 19911031    15.5
19911101 19911130    18.0
19911201 19911231    41.5
19920101 19920131    14.0
19920201 19920229    99.0
19920301 19920331     7.0
19920401 19920430     0.0
19920501 19920531    43.0
19920601 19920630     0.0
19920701 19920731    13.5
19920801 19920831     2.0
19920901 19920930    18.5
19921001 19921031     7.0
19921101 19921130    31.5
19921201 19921231    43.5
19930101 19930131    21.0
19930201 19930228    62.0
