PRCP       048031 18970501 20180131 missing_value=99999.9 COLLARENEBRI (VIEWPOINT)                  
19700101 19700131    99.2
19700201 19700228    47.0
19700301 19700331    21.1
19700401 19700430    25.9
19700501 19700531     4.8
19700601 19700630    13.2
19700701 19700731     0.0
19700801 19700831    16.9
19700901 19700930    75.9
19701001 19701031    36.5
19701101 19701130    33.7
19701201 19701231   126.3
19710101 19710131   129.2
19710201 19710228    98.4
19710301 19710331    11.7
19710401 19710430     3.9
19710501 19710531     4.8
19710601 19710630     0.8
19710701 19710731    64.7
19710801 19710831    48.4
19710901 19710930    46.0
19711001 19711031    15.3
19711101 19711130    21.4
19711201 19711231    41.4
19720101 19720131    94.8
19720201 19720229    36.3
19720301 19720331    24.9
19720401 19720430    10.5
19720501 19720531    13.7
19720601 19720630    14.6
19720701 19720731     2.3
19720801 19720831    22.6
19720901 19720930    13.9
19721001 19721031    46.7
19721101 19721130    98.8
19721201 19721231    14.6
19730101 19730131    53.4
19730201 19730228    44.7
19730301 19730331     5.9
19730401 19730430    22.1
19730501 19730531    33.1
19730601 19730630    13.2
19730701 19730731    52.7
19730801 19730831    15.3
19730901 19730930    50.0
19731001 19731031    62.7
19731101 19731130    77.2
19731201 19731231   157.3
19740101 19740131   508.4
19740201 19740228    34.6
19740301 19740331    30.2
19740401 19740430    82.6
19740501 19740531    12.4
19740601 19740630    30.4
19740701 19740731    11.2
19740801 19740831    32.8
19740901 19740930     7.6
19741001 19741031    37.4
19741101 19741130    37.7
19741201 19741231     4.0
19750101 19750131    16.2
19750201 19750228   110.2
19750301 19750331    57.2
19750401 19750430     0.0
19750501 19750531     0.0
19750601 19750630    31.2
19750701 19750731    21.6
19750801 19750831    27.1
19750901 19750930    11.6
19751001 19751031    34.6
19751101 19751130    20.4
19751201 19751231    68.8
19760101 19760131   315.0
19760201 19760229   351.4
19760301 19760331    82.1
19760401 19760430     2.8
19760501 19760531    26.2
19760601 19760630    10.8
19760701 19760731    35.0
19760801 19760831     5.6
19760901 19760930    17.4
19761001 19761031    59.4
19761101 19761130    59.8
19761201 19761231    37.6
19770101 19770131    58.0
19770201 19770228   153.6
19770301 19770331   110.0
19770401 19770430    52.0
19770501 19770531   105.0
19770601 19770630     2.6
19770701 19770731     1.2
19770801 19770831     4.0
19770901 19770930    10.4
19771001 19771031     7.8
19771101 19771130    20.0
19771201 19771231    16.4
19780101 19780131   233.0
19780201 19780228    10.0
19780301 19780331    53.6
19780401 19780430     3.0
19780501 19780531    60.2
19780601 19780630    81.2
19780701 19780731    37.4
19780801 19780831    48.4
19780901 19780930    66.8
19781001 19781031    10.2
19781101 19781130   122.0
19781201 19781231    58.2
19790101 19790131    10.2
19790201 19790228    11.2
19790301 19790331    29.2
19790401 19790430     2.8
19790501 19790531    33.4
19790601 19790630    82.8
19790701 19790731     4.6
19790801 19790831    18.2
19790901 19790930    42.8
19791001 19791031    66.8
19791101 19791130    50.2
19791201 19791231    12.4
19800101 19800131    33.4
19800201 19800229    32.1
19800301 19800331     8.5
19800401 19800430     9.0
19800501 19800531    37.6
19800601 19800630     7.6
19800701 19800731     5.8
19800801 19800831    12.2
19800901 19800930     0.0
19801001 19801031    29.6
19801101 19801130     3.0
19801201 19801231   161.8
19810101 19810131    18.4
19810201 19810228    55.2
19810301 19810331     1.8
19810401 19810430    15.4
19810501 19810531    64.6
19810601 19810630    52.2
19810701 19810731    56.2
19810801 19810831     3.2
19810901 19810930    13.8
19811001 19811031    40.2
19811101 19811130    59.2
19811201 19811231    10.4
19820101 19820131    54.8
19820201 19820228    16.0
19820301 19820331   125.0
19820401 19820430     9.4
19820501 19820531    19.9
19820601 19820630     2.8
19820701 19820731     7.2
19820801 19820831     0.0
19820901 19820930     9.8
19821001 19821031    33.4
19821101 19821130     0.2
19821201 19821231    41.6
19830101 19830131    68.8
19830201 19830228    29.8
19830301 19830331    57.4
19830401 19830430    86.2
19830501 19830531   216.2
19830601 19830630    42.5
19830701 19830731    18.7
19830801 19830831    34.8
19830901 19830930    22.5
19831001 19831031    65.8
19831101 19831130   146.6
19831201 19831231    37.8
19840101 19840131   161.6
19840201 19840229    91.8
19840301 19840331     3.6
19840401 19840430   184.6
19840501 19840531     1.0
19840601 19840630    28.2
19840701 19840731   112.4
19840801 19840831    17.8
19840901 19840930    23.6
19841001 19841031    55.3
19841101 19841130    37.6
19841201 19841231    21.8
19850101 19850131     4.0
19850201 19850228    15.8
19850301 19850331     4.6
19850401 19850430    13.6
19850501 19850531     8.2
19850601 19850630     7.4
19850701 19850731    84.0
19850801 19850831    68.2
19850901 19850930     4.0
19851001 19851031    38.6
19851101 19851130   149.4
19851201 19851231    65.2
19860101 19860131    18.4
19860201 19860228     2.0
19860301 19860331     0.0
19860401 19860430    13.6
19860501 19860531    37.2
19860601 19860630     0.0
19860701 19860731    83.0
19860801 19860831    50.0
19860901 19860930    40.0
19861001 19861031    31.6
19861101 19861130    19.4
19861201 19861231    36.6
19870101 19870131    96.0
19870201 19870228    86.8
19870301 19870331    25.3
19870401 19870430     1.0
19870501 19870531    74.0
19870601 19870630    35.6
19870701 19870731    16.2
19870801 19870831   110.2
19870901 19870930     0.0
19871001 19871031    39.2
19871101 19871130    35.2
19871201 19871231   118.3
19880101 19880131    55.8
19880201 19880229    55.4
19880301 19880331     7.4
19880401 19880430   246.2
19880501 19880531    26.9
19880601 19880630    15.6
19880701 19880731    96.4
19880801 19880831    54.6
19880901 19880930    41.2
19881001 19881031     1.6
19881101 19881130    21.0
19881201 19881231    16.0
19890101 19890131    43.6
19890201 19890228    22.0
19890301 19890331    42.4
19890401 19890430   111.0
19890501 19890531   100.4
19890601 19890630 99999.9
19890701 19890731    39.0
19890801 19890831    16.0
19890901 19890930     0.0
19891001 19891031    11.0
19891101 19891130    26.6
19891201 19891231    18.0
19900101 19900131     6.0
19900201 19900228    20.8
19900301 19900331    63.6
19900401 19900430   356.0
19900501 19900531    39.0
19900601 19900630    18.0
19900701 19900731   100.8
19900801 19900831     8.0
19900901 19900930    30.0
19901001 19901031    16.0
19901101 19901130     2.0
19901201 19901231    30.0
19910101 19910131    98.2
19910201 19910228    81.0
19910301 19910331    31.0
19910401 19910430     0.0
19910501 19910531   127.0
19910601 19910630    27.0
19910701 19910731    29.3
19910801 19910831     0.0
19910901 19910930     4.8
19911001 19911031    10.6
19911101 19911130    31.8
19911201 19911231   216.4
19920101 19920131    43.0
19920201 19920229    69.8
19920301 19920331     0.0
19920401 19920430    22.8
19920501 19920531    14.8
19920601 19920630     7.2
19920701 19920731    33.4
19920801 19920831    53.8
19920901 19920930    15.8
19921001 19921031    26.8
19921101 19921130    84.8
19921201 19921231    66.0
19930101 19930131    56.4
19930201 19930228    68.2
