PRCP       010505 18910101 20170930 missing_value=99999.9 ARTHUR RIVER COMP                         
19740101 19740131     0.0
19740201 19740228    22.0
19740301 19740331     0.8
19740401 19740430    29.6
19740501 19740531   144.7
19740601 19740630    70.3
19740701 19740731   116.8
19740801 19740831    70.6
19740901 19740930    20.0
19741001 19741031    48.0
19741101 19741130    34.6
19741201 19741231     0.0
19750101 19750131     0.0
19750201 19750228     0.0
19750301 19750331    18.8
19750401 19750430    54.8
19750501 19750531    53.4
19750601 19750630    41.6
19750701 19750731    85.4
19750801 19750831    51.3
19750901 19750930    37.8
19751001 19751031    18.0
19751101 19751130    22.2
19751201 19751231     0.0
19760101 19760131    45.6
19760201 19760229    76.8
19760301 19760331     0.0
19760401 19760430    59.8
19760501 19760531    74.0
19760601 19760630    29.4
19760701 19760731    28.8
19760801 19760831   101.6
19760901 19760930    34.4
19761001 19761031    31.2
19761101 19761130    26.4
19761201 19761231     1.6
19770101 19770131     0.0
19770201 19770228     4.2
19770301 19770331     2.0
19770401 19770430     9.0
19770501 19770531    61.6
19770601 19770630    61.0
19770701 19770731    38.2
19770801 19770831    62.8
19770901 19770930    26.0
19771001 19771031    84.4
19771101 19771130    12.8
19771201 19771231    30.0
19780101 19780131     3.2
19780201 19780228    23.0
19780301 19780331     1.7
19780401 19780430    13.1
19780501 19780531    42.1
19780601 19780630    84.2
19780701 19780731    74.8
19780801 19780831    24.0
19780901 19780930    39.8
19781001 19781031    35.8
19781101 19781130    44.8
19781201 19781231    12.5
19790101 19790131     6.8
19790201 19790228     6.0
19790301 19790331     5.0
19790401 19790430     8.4
19790501 19790531    43.5
19790601 19790630    29.9
19790701 19790731    59.4
19790801 19790831    40.4
19790901 19790930    33.1
19791001 19791031    16.4
19791101 19791130    34.0
19791201 19791231     1.0
19800101 19800131     0.0
19800201 19800229    49.4
19800301 19800331     2.0
19800401 19800430    30.8
19800501 19800531    42.1
19800601 19800630    74.0
19800701 19800731    47.9
19800801 19800831    46.7
19800901 19800930    32.0
19801001 19801031    69.6
19801101 19801130     4.0
19801201 19801231    37.0
19810101 19810131     1.2
19810201 19810228    18.2
19810301 19810331     9.4
19810401 19810430    13.2
19810501 19810531    81.4
19810601 19810630    63.1
19810701 19810731    66.5
19810801 19810831    67.1
19810901 19810930    29.0
19811001 19811031    11.6
19811101 19811130    58.6
19811201 19811231     2.4
19820101 19820131   261.0
19820201 19820228     3.9
19820301 19820331     4.7
19820401 19820430     0.8
19820501 19820531    27.2
19820601 19820630    49.4
19820701 19820731    35.8
19820801 19820831    58.2
19820901 19820930    53.2
19821001 19821031    14.8
19821101 19821130    46.0
19821201 19821231    12.0
19830101 19830131     0.6
19830201 19830228    36.3
19830301 19830331     2.0
19830401 19830430    13.0
19830501 19830531    22.1
19830601 19830630   170.9
19830701 19830731    76.8
19830801 19830831   103.8
19830901 19830930    56.2
19831001 19831031    17.0
19831101 19831130    43.9
19831201 19831231    30.0
19840101 19840131     0.0
19840201 19840229     0.0
19840301 19840331     0.0
19840401 19840430   101.4
19840501 19840531    82.7
19840601 19840630    53.6
19840701 19840731    33.4
19840801 19840831    43.2
19840901 19840930    57.9
19841001 19841031    18.8
19841101 19841130    68.6
19841201 19841231    12.6
19850101 19850131     0.0
19850201 19850228    15.8
19850301 19850331     0.0
19850401 19850430    50.6
19850501 19850531    26.8
19850601 19850630    70.0
19850701 19850731    96.7
19850801 19850831    75.6
19850901 19850930    15.2
19851001 19851031    25.2
19851101 19851130    12.0
19851201 19851231     3.6
19860101 19860131     0.1
19860201 19860228    68.0
19860301 19860331     9.8
19860401 19860430     1.9
19860501 19860531    50.9
19860601 19860630    64.7
19860701 19860731    52.1
19860801 19860831    39.4
19860901 19860930    27.2
19861001 19861031    19.0
19861101 19861130    14.8
19861201 19861231     5.7
