PRCP       024511 18801101 20180131 missing_value=99999.9 EUDUNDA                                   
19410601 19410630    44.4
19410701 19410731    45.7
19410801 19410831    40.3
19410901 19410930    42.8
19411001 19411031    69.7
19411101 19411130    15.8
19411201 19411231     9.9
19420101 19420131    19.5
19420201 19420228     4.2
19420301 19420331     1.3
19420401 19420430    40.9
19420501 19420531    69.9
19420601 19420630    66.1
19420701 19420731    64.8
19420801 19420831    56.7
19420901 19420930    61.1
19421001 19421031    26.0
19421101 19421130    18.3
19421201 19421231     9.5
19430101 19430131    16.5
19430201 19430228    36.6
19430301 19430331     3.3
19430401 19430430    32.3
19430501 19430531     6.6
19430601 19430630    55.3
19430701 19430731    22.6
19430801 19430831    54.1
19430901 19430930    33.8
19431001 19431031    28.9
19431101 19431130    18.5
19431201 19431231    21.1
19440101 19440131     0.8
19440201 19440229    12.0
19440301 19440331    10.0
19440401 19440430    21.4
19440501 19440531    72.9
19440601 19440630     6.5
19440701 19440731    29.6
19440801 19440831    26.2
19440901 19440930    12.2
19441001 19441031    23.4
19441101 19441130    35.4
19441201 19441231    30.7
19450101 19450131    12.0
19450201 19450228    12.8
19450301 19450331     0.0
19450401 19450430     6.7
19450501 19450531    21.9
19450601 19450630    53.8
19450701 19450731    18.9
19450801 19450831    56.7
19450901 19450930    31.1
19451001 19451031    71.6
19451101 19451130    58.8
19451201 19451231    18.8
19460101 19460131    21.4
19460201 19460228   124.7
19460301 19460331    49.0
19460401 19460430    16.0
19460501 19460531    51.3
19460601 19460630    33.5
19460701 19460731    91.9
19460801 19460831    35.0
19460901 19460930    12.4
19461001 19461031    15.3
19461101 19461130    39.0
19461201 19461231   110.0
19470101 19470131     7.4
19470201 19470228    78.0
19470301 19470331    51.2
19470401 19470430    25.6
19470501 19470531    14.2
19470601 19470630    32.5
19470701 19470731    86.5
19470801 19470831    65.7
19470901 19470930    54.3
19471001 19471031    50.0
19471101 19471130    21.1
19471201 19471231    23.6
19480101 19480131     3.2
19480201 19480229     6.1
19480301 19480331     3.3
19480401 19480430    94.6
19480501 19480531    28.5
19480601 19480630    26.7
19480701 19480731    38.0
19480801 19480831    71.5
19480901 19480930    11.1
19481001 19481031    78.9
19481101 19481130    39.8
19481201 19481231    55.7
19490101 19490131     6.1
19490201 19490228    37.8
19490301 19490331     0.0
19490401 19490430     1.9
19490501 19490531    49.1
19490601 19490630    16.7
19490701 19490731    38.7
19490801 19490831    20.2
19490901 19490930    31.2
19491001 19491031    74.1
19491101 19491130    60.0
19491201 19491231     3.6
19500101 19500131     0.3
19500201 19500228    64.1
19500301 19500331    50.8
19500401 19500430     5.6
19500501 19500531    91.2
19500601 19500630    39.4
19500701 19500731    46.3
19500801 19500831    45.9
19500901 19500930    26.7
19501001 19501031    23.3
19501101 19501130    17.5
19501201 19501231     9.2
19510101 19510131     3.3
19510201 19510228    14.3
19510301 19510331     1.5
19510401 19510430    57.4
19510501 19510531    62.0
19510601 19510630    92.9
19510701 19510731    91.8
19510801 19510831    77.9
19510901 19510930    25.0
19511001 19511031    70.8
19511101 19511130     8.2
19511201 19511231    24.9
19520101 19520131    18.3
19520201 19520229     2.3
19520301 19520331     2.6
19520401 19520430    44.7
19520501 19520531   121.0
19520601 19520630    53.8
19520701 19520731    32.9
19520801 19520831    25.8
19520901 19520930    44.0
19521001 19521031    78.3
19521101 19521130    53.4
19521201 19521231    10.4
19530101 19530131     7.9
19530201 19530228     1.1
19530301 19530331     1.3
19530401 19530430     9.4
19530501 19530531    35.7
19530601 19530630    59.0
19530701 19530731    45.4
19530801 19530831    44.8
19530901 19530930    57.2
19531001 19531031    53.7
19531101 19531130    21.0
19531201 19531231    41.9
19540101 19540131    21.9
19540201 19540228     1.5
19540301 19540331     9.0
19540401 19540430    52.1
19540501 19540531    12.2
19540601 19540630    49.5
19540701 19540731    38.7
19540801 19540831    27.8
19540901 19540930    16.2
19541001 19541031    43.6
19541101 19541130    24.7
19541201 19541231    33.6
19550101 19550131     2.8
19550201 19550228    95.6
19550301 19550331    37.6
19550401 19550430    15.2
19550501 19550531   137.5
19550601 19550630    84.8
19550701 19550731    32.3
19550801 19550831   111.5
19550901 19550930    34.4
19551001 19551031    18.9
19551101 19551130    29.1
19551201 19551231    15.3
19560101 19560131    17.3
19560201 19560229    21.5
19560301 19560331    32.6
19560401 19560430    39.2
19560501 19560531    77.3
19560601 19560630    92.6
19560701 19560731    91.3
19560801 19560831    59.4
19560901 19560930    74.8
19561001 19561031    49.5
19561101 19561130    20.3
19561201 19561231     3.9
19570101 19570131     0.0
19570201 19570228     0.0
19570301 19570331    13.5
19570401 19570430     8.0
19570501 19570531    27.8
19570601 19570630    40.1
19570701 19570731    37.7
19570801 19570831    31.6
19570901 19570930    38.3
19571001 19571031    26.7
19571101 19571130    15.0
19571201 19571231    10.7
19580101 19580131    17.0
19580201 19580228     2.5
19580301 19580331    30.5
19580401 19580430    21.9
19580501 19580531    71.2
19580601 19580630    12.3
19580701 19580731    51.0
19580801 19580831    85.8
19580901 19580930    89.8
19581001 19581031    51.4
19581101 19581130    22.1
19581201 19581231    11.3
19590101 19590131     5.4
19590201 19590228    22.6
19590301 19590331    40.6
19590401 19590430     5.4
19590501 19590531    10.8
19590601 19590630    10.9
19590701 19590731    20.4
19590801 19590831    34.9
19590901 19590930    20.9
19591001 19591031    54.7
19591101 19591130    13.4
19591201 19591231    25.9
19600101 19600131     9.9
19600201 19600229    59.6
19600301 19600331    14.0
19600401 19600430    39.5
19600501 19600531   160.0
19600601 19600630    17.8
19600701 19600731    59.5
19600801 19600831    46.0
19600901 19600930    79.6
19601001 19601031     7.8
19601101 19601130    43.5
19601201 19601231    12.8
19610101 19610131     3.6
19610201 19610228    18.0
19610301 19610331     7.6
19610401 19610430   112.9
19610501 19610531    16.3
19610601 19610630    31.7
19610701 19610731    64.9
19610801 19610831    49.1
19610901 19610930    56.8
19611001 19611031     8.8
19611101 19611130   102.7
19611201 19611231    20.1
19620101 19620131    51.4
19620201 19620228     2.8
19620301 19620331    44.8
19620401 19620430     1.1
19620501 19620531    82.2
19620601 19620630    32.9
19620701 19620731    39.0
19620801 19620831    42.0
19620901 19620930    26.5
19621001 19621031    65.8
19621101 19621130    11.8
19621201 19621231    68.2
19630101 19630131    23.6
19630201 19630228    10.7
19630301 19630331     2.9
19630401 19630430    94.1
19630501 19630531   106.2
19630601 19630630    98.0
19630701 19630731    95.2
19630801 19630831    74.1
19630901 19630930    41.6
19631001 19631031    24.5
19631101 19631130    11.3
19631201 19631231     2.9
19640101 19640131    25.9
19640201 19640229    22.4
19640301 19640331     3.6
19640401 19640430    56.9
19640501 19640531    28.1
19640601 19640630    38.3
19640701 19640731   130.8
19640801 19640831    36.3
19640901 19640930    84.0
19641001 19641031    77.8
19641101 19641130    28.0
19641201 19641231    50.0
19650101 19650131     1.0
19650201 19650228     0.0
19650301 19650331     7.4
19650401 19650430    18.6
19650501 19650531    60.3
19650601 19650630    33.9
19650701 19650731    39.9
19650801 19650831    50.3
19650901 19650930    43.7
19651001 19651031     9.8
19651101 19651130    29.0
19651201 19651231    22.3
19660101 19660131    12.2
19660201 19660228    27.1
19660301 19660331    26.5
19660401 19660430    11.1
19660501 19660531    28.7
19660601 19660630    40.1
19660701 19660731    78.8
19660801 19660831    30.0
19660901 19660930    55.6
19661001 19661031    29.0
19661101 19661130    12.8
19661201 19661231    89.8
19670101 19670131    16.2
19670201 19670228    16.0
19670301 19670331     5.1
19670401 19670430     2.8
19670501 19670531    15.4
19670601 19670630     7.1
19670701 19670731    37.0
19670801 19670831    54.7
19670901 19670930    22.7
19671001 19671031     6.4
19671101 19671130     2.3
19671201 19671231     7.7
19680101 19680131    36.6
19680201 19680229    59.7
19680301 19680331    37.3
19680401 19680430    41.7
19680501 19680531   110.0
19680601 19680630    88.1
19680701 19680731    79.8
19680801 19680831    81.2
19680901 19680930    22.2
19681001 19681031    59.2
19681101 19681130    34.5
19681201 19681231    25.9
19690101 19690131    13.7
19690201 19690228    82.2
19690301 19690331    47.6
19690401 19690430    21.5
19690501 19690531    42.7
19690601 19690630    37.7
19690701 19690731    56.9
19690801 19690831    31.7
19690901 19690930    62.9
