PRCP       019061 19100101 20171231 missing_value=99999.9 YEDNALUE                                  
19821201 19821231     5.8
19830101 19830131     0.0
19830201 19830228     9.0
19830301 19830331    12.0
19830401 19830430    35.6
19830501 19830531    18.2
19830601 19830630    24.8
19830701 19830731    55.6
19830801 19830831    52.6
19830901 19830930    28.8
19831001 19831031    44.4
19831101 19831130    21.0
19831201 19831231    38.0
19840101 19840131    16.6
19840201 19840229     1.0
19840301 19840331     0.0
19840401 19840430    54.0
19840501 19840531    12.8
19840601 19840630    23.8
19840701 19840731    45.0
19840801 19840831    45.6
19840901 19840930    37.0
19841001 19841031    44.6
19841101 19841130     7.4
19841201 19841231     0.0
19850101 19850131     3.9
19850201 19850228     2.8
19850301 19850331    25.4
19850401 19850430     3.0
19850501 19850531    43.6
19850601 19850630    11.2
19850701 19850731    17.8
19850801 19850831   106.2
19850901 19850930    17.6
19851001 19851031    46.2
19851101 19851130    13.6
19851201 19851231    10.4
19860101 19860131     0.0
19860201 19860228     8.4
19860301 19860331     0.0
19860401 19860430     4.8
19860501 19860531    35.4
19860601 19860630     9.0
19860701 19860731   101.0
19860801 19860831    50.0
19860901 19860930    29.2
19861001 19861031    86.8
19861101 19861130    27.0
19861201 19861231    16.8
19870101 19870131    40.8
19870201 19870228    40.6
19870301 19870331    24.9
19870401 19870430     4.0
19870501 19870531    31.4
19870601 19870630    40.8
19870701 19870731    23.0
19870801 19870831    28.4
19870901 19870930    27.2
19871001 19871031    21.0
19871101 19871130     5.6
19871201 19871231    24.7
19880101 19880131     4.2
19880201 19880229     0.0
19880301 19880331    40.8
19880401 19880430    14.2
19880501 19880531    99.9
19880601 19880630    43.2
19880701 19880731    20.8
19880801 19880831     3.0
19880901 19880930    29.0
19881001 19881031     4.0
19881101 19881130    11.0
19881201 19881231    57.8
19890101 19890131     0.4
19890201 19890228    18.0
19890301 19890331   219.4
19890401 19890430    67.2
19890501 19890531    45.6
19890601 19890630    50.2
19890701 19890731    63.8
19890801 19890831     9.8
19890901 19890930    16.0
19891001 19891031     7.0
19891101 19891130    19.8
19891201 19891231    16.8
19900101 19900131    34.8
19900201 19900228     0.0
19900301 19900331     0.0
19900401 19900430    33.2
19900501 19900531    95.8
19900601 19900630    27.4
19900701 19900731    61.4
19900801 19900831    48.8
19900901 19900930     5.4
19901001 19901031     0.0
19901101 19901130     0.0
19901201 19901231    12.0
19910101 19910131     3.9
19910201 19910228     0.0
19910301 19910331     1.2
19910401 19910430    10.0
19910501 19910531     0.0
19910601 19910630    55.6
19910701 19910731    41.0
19910801 19910831    15.6
19910901 19910930     6.2
