PRCP       094061 18880101 20180131 missing_value=99999.9 SANDFORD (MAYDENA)                        
19451101 19451130    21.4
19451201 19451231    29.8
19460101 19460131    11.4
19460201 19460228    67.9
19460301 19460331   219.3
19460401 19460430    41.1
19460501 19460531    28.0
19460601 19460630    63.0
19460701 19460731    58.1
19460801 19460831    82.4
19460901 19460930    60.7
19461001 19461031    46.8
19461101 19461130    60.9
19461201 19461231    56.3
19470101 19470131    16.9
19470201 19470228    32.3
19470301 19470331    59.6
19470401 19470430    37.5
19470501 19470531   100.6
19470601 19470630   106.3
19470701 19470731    59.8
19470801 19470831    46.1
19470901 19470930    38.9
19471001 19471031   178.1
19471101 19471130    40.5
19471201 19471231   126.1
19480101 19480131    19.1
19480201 19480229    29.3
19480301 19480331    41.1
19480401 19480430    80.5
19480501 19480531    46.9
19480601 19480630    25.1
19480701 19480731    39.8
19480801 19480831    16.7
19480901 19480930    46.5
19481001 19481031    90.1
19481101 19481130    79.6
19481201 19481231    36.5
19490101 19490131    78.2
19490201 19490228    27.2
19490301 19490331    32.0
19490401 19490430    11.5
19490501 19490531    61.8
19490601 19490630    34.3
19490701 19490731    49.0
19490801 19490831    14.2
19490901 19490930    18.5
19491001 19491031    84.3
19491101 19491130    67.6
19491201 19491231    37.5
19500101 19500131    25.0
19500201 19500228    24.1
19500301 19500331    34.8
19500401 19500430    24.8
19500501 19500531    61.7
19500601 19500630    86.1
19500701 19500731    10.2
19500801 19500831    64.9
19500901 19500930    17.0
19501001 19501031   106.4
19501101 19501130    59.9
19501201 19501231    42.5
19510101 19510131    32.5
19510201 19510228    41.3
19510301 19510331    26.0
19510401 19510430   125.1
19510501 19510531    34.3
19510601 19510630    28.3
19510701 19510731    37.8
19510801 19510831    31.8
19510901 19510930     8.4
19511001 19511031    63.4
19511101 19511130    55.5
19511201 19511231    93.8
19520101 19520131    43.7
19520201 19520229    34.0
19520301 19520331    17.4
19520401 19520430   101.7
19520501 19520531    82.3
19520601 19520630    81.8
19520701 19520731    42.4
19520801 19520831    18.6
19520901 19520930    59.8
19521001 19521031   109.9
19521101 19521130    57.4
19521201 19521231    45.7
19530101 19530131    42.1
19530201 19530228    82.3
19530301 19530331    73.7
19530401 19530430    48.8
19530501 19530531    43.9
19530601 19530630    70.2
19530701 19530731    55.8
19530801 19530831    55.2
19530901 19530930   114.2
19531001 19531031    37.2
19531101 19531130    76.9
19531201 19531231    84.1
19540101 19540131    30.8
19540201 19540228   113.6
19540301 19540331    11.9
19540401 19540430    24.2
19540501 19540531    34.8
19540601 19540630   143.3
19540701 19540731    12.5
19540801 19540831    31.6
19540901 19540930    18.2
19541001 19541031    13.8
19541101 19541130    86.1
19541201 19541231    26.1
19550101 19550131    15.4
19550201 19550228    14.5
19550301 19550331    19.3
19550401 19550430    83.3
19550501 19550531    49.0
19550601 19550630    53.1
19550701 19550731    46.4
19550801 19550831    22.8
19550901 19550930    33.3
19551001 19551031    59.0
19551101 19551130    29.3
19551201 19551231    86.7
19560101 19560131    77.8
19560201 19560229   113.8
19560301 19560331    46.7
19560401 19560430    52.6
19560501 19560531   127.8
19560601 19560630    99.5
19560701 19560731    59.3
19560801 19560831    45.4
19560901 19560930    25.1
19561001 19561031   113.3
19561101 19561130    52.1
19561201 19561231    17.1
19570101 19570131    17.5
19570201 19570228    28.3
19570301 19570331    40.4
19570401 19570430    67.1
19570501 19570531    57.2
19570601 19570630    15.3
19570701 19570731    14.9
19570801 19570831    35.7
19570901 19570930    61.2
19571001 19571031    61.1
19571101 19571130   104.3
19571201 19571231    31.6
19580101 19580131     3.3
19580201 19580228    59.5
19580301 19580331    36.0
19580401 19580430    65.2
19580501 19580531   120.9
19580601 19580630    19.4
19580701 19580731    72.2
19580801 19580831   144.8
19580901 19580930    30.7
19581001 19581031    86.2
19581101 19581130    46.3
19581201 19581231   119.6
19590101 19590131    35.5
19590201 19590228    25.5
19590301 19590331     9.7
19590401 19590430    27.2
19590501 19590531    30.3
19590601 19590630    37.4
19590701 19590731    53.3
19590801 19590831    16.0
19590901 19590930    49.0
19591001 19591031    18.3
19591101 19591130    21.6
19591201 19591231   122.9
19600101 19600131    53.3
19600201 19600229    21.9
19600301 19600331    15.0
19600401 19600430   189.2
19600501 19600531    96.1
19600601 19600630    15.2
19600701 19600731    40.4
19600801 19600831    43.8
19600901 19600930    49.3
19601001 19601031    54.9
19601101 19601130    28.4
19601201 19601231     6.8
19610101 19610131    23.3
19610201 19610228    38.4
19610301 19610331    15.8
19610401 19610430    58.0
19610501 19610531    41.7
19610601 19610630    42.9
19610701 19610731    94.9
19610801 19610831    44.5
19610901 19610930    22.1
19611001 19611031    34.6
19611101 19611130    11.2
19611201 19611231    29.9
19620101 19620131    39.8
19620201 19620228    23.2
19620301 19620331    26.8
19620401 19620430    48.0
19620501 19620531    62.4
19620601 19620630    30.2
19620701 19620731    76.1
19620801 19620831    54.9
19620901 19620930    71.2
19621001 19621031    77.4
19621101 19621130    17.6
19621201 19621231    49.3
19630101 19630131    18.5
19630201 19630228    42.1
19630301 19630331    30.4
19630401 19630430    16.2
19630501 19630531    36.0
19630601 19630630    24.1
19630701 19630731    70.3
19630801 19630831    32.8
19630901 19630930    30.1
19631001 19631031    20.3
19631101 19631130    20.1
19631201 19631231     9.9
19640101 19640131    10.9
19640201 19640229   191.6
19640301 19640331    39.9
19640401 19640430    25.4
19640501 19640531    36.9
19640601 19640630    58.1
19640701 19640731    86.9
19640801 19640831    27.4
19640901 19640930    37.1
19641001 19641031    32.7
19641101 19641130    30.9
19641201 19641231   116.9
19650101 19650131    53.8
19650201 19650228    10.3
19650301 19650331    51.7
19650401 19650430    80.2
19650501 19650531    46.4
19650601 19650630     7.9
19650701 19650731     8.2
19650801 19650831    56.1
19650901 19650930    40.8
19651001 19651031    33.1
19651101 19651130    71.4
19651201 19651231    36.8
19660101 19660131    18.0
19660201 19660228    39.6
19660301 19660331    69.2
19660401 19660430    70.3
19660501 19660531    36.6
19660601 19660630    14.2
19660701 19660731    93.1
19660801 19660831    33.5
19660901 19660930    86.1
19661001 19661031   131.0
19661101 19661130    15.4
19661201 19661231    22.1
19670101 19670131    22.2
19670201 19670228    10.7
19670301 19670331    14.2
19670401 19670430    13.7
19670501 19670531    19.7
19670601 19670630    10.5
19670701 19670731   158.0
19670801 19670831    50.3
19670901 19670930    73.6
19671001 19671031    20.9
19671101 19671130    47.7
19671201 19671231    46.2
19680101 19680131    25.6
19680201 19680229    49.5
19680301 19680331    38.5
19680401 19680430    20.9
19680501 19680531    72.0
19680601 19680630    44.1
19680701 19680731    30.5
19680801 19680831    60.6
19680901 19680930    19.1
19681001 19681031    26.0
19681101 19681130    62.7
19681201 19681231    30.9
19690101 19690131    25.0
19690201 19690228   104.0
19690301 19690331    34.6
19690401 19690430    58.4
19690501 19690531    85.5
19690601 19690630    39.1
19690701 19690731    29.3
19690801 19690831    34.1
19690901 19690930    33.2
19691001 19691031    38.7
19691101 19691130    99.5
19691201 19691231   142.9
19700101 19700131    87.6
19700201 19700228    49.6
19700301 19700331    66.4
19700401 19700430    17.8
19700501 19700531    61.1
19700601 19700630    42.6
19700701 19700731    41.9
19700801 19700831    69.6
19700901 19700930    21.2
19701001 19701031   111.8
19701101 19701130    66.2
19701201 19701231   164.5
19710101 19710131    72.3
19710201 19710228    72.7
19710301 19710331    49.5
19710401 19710430    19.7
19710501 19710531    56.8
19710601 19710630    28.9
19710701 19710731    19.4
19710801 19710831    81.5
19710901 19710930    78.3
19711001 19711031    57.9
19711101 19711130    94.0
19711201 19711231    56.0
19720101 19720131    50.4
19720201 19720229    42.2
19720301 19720331     7.7
19720401 19720430    77.5
19720501 19720531    16.1
19720601 19720630    20.9
19720701 19720731    57.8
19720801 19720831    42.1
19720901 19720930    19.8
19721001 19721031    32.9
19721101 19721130    26.0
19721201 19721231    25.9
19730101 19730131    32.2
19730201 19730228    56.5
19730301 19730331    40.9
19730401 19730430    53.0
19730501 19730531    83.4
19730601 19730630    72.3
19730701 19730731    21.8
19730801 19730831    21.9
19730901 19730930    43.3
19731001 19731031   108.2
19731101 19731130    58.2
19731201 19731231    80.9
19740101 19740131    10.4
19740201 19740228    44.4
19740301 19740331    26.0
19740401 19740430   102.6
19740501 19740531    52.8
19740601 19740630    61.8
19740701 19740731   146.6
19740801 19740831    29.6
19740901 19740930    66.2
19741001 19741031    38.0
19741101 19741130    77.0
19741201 19741231    65.9
19750101 19750131    74.8
19750201 19750228     5.0
19750301 19750331   106.0
19750401 19750430    34.6
19750501 19750531    66.4
19750601 19750630    37.4
19750701 19750731    80.6
19750801 19750831   122.6
19750901 19750930    52.6
19751001 19751031    72.4
19751101 19751130    91.2
19751201 19751231    20.0
19760101 19760131   116.7
19760201 19760229    15.4
19760301 19760331    51.2
19760401 19760430    18.8
19760501 19760531    21.9
19760601 19760630    38.0
19760701 19760731    35.9
19760801 19760831   128.2
19760901 19760930    57.8
19761001 19761031    73.0
19761101 19761130   117.6
19761201 19761231    72.9
19770101 19770131    97.0
19770201 19770228    50.7
19770301 19770331    73.2
19770401 19770430    16.5
19770501 19770531    36.4
19770601 19770630    47.9
19770701 19770731    81.2
19770801 19770831    17.4
19770901 19770930    38.0
19771001 19771031    21.2
19771101 19771130    67.5
19771201 19771231     5.2
19780101 19780131    27.8
19780201 19780228    72.8
19780301 19780331    25.8
19780401 19780430    77.4
19780501 19780531    51.6
19780601 19780630    32.0
19780701 19780731    30.4
19780801 19780831    92.8
19780901 19780930    16.4
19781001 19781031    37.0
19781101 19781130    83.0
19781201 19781231    72.2
19790101 19790131    27.0
