PRCP       068016 19040101 20130131 missing_value=99999.9 CATARACT DAM                              
19440601 19440630    14.4
19440701 19440731    59.1
19440801 19440831    59.0
19440901 19440930    15.1
19441001 19441031    21.3
19441101 19441130    27.4
19441201 19441231    21.6
19450101 19450131   109.1
19450201 19450228    53.4
19450301 19450331    19.0
19450401 19450430   297.7
19450501 19450531    77.3
19450601 19450630   442.9
19450701 19450731    35.9
19450801 19450831    26.6
19450901 19450930     5.3
19451001 19451031    15.5
19451101 19451130    45.6
19451201 19451231    55.1
19460101 19460131    17.5
19460201 19460228    61.6
19460301 19460331    59.4
19460401 19460430   302.8
19460501 19460531    24.9
19460601 19460630   129.6
19460701 19460731     1.0
19460801 19460831     0.0
19460901 19460930    23.4
19461001 19461031    55.6
19461101 19461130   122.5
19461201 19461231    22.1
19470101 19470131    32.3
19470201 19470228   212.0
19470301 19470331    44.5
19470401 19470430   143.3
19470501 19470531    34.7
19470601 19470630    42.2
19470701 19470731    21.2
19470801 19470831    41.1
19470901 19470930    27.8
19471001 19471031    43.4
19471101 19471130    75.0
19471201 19471231   322.2
19480101 19480131   162.9
19480201 19480229    46.4
19480301 19480331    64.5
19480401 19480430    26.7
19480501 19480531   192.1
19480601 19480630   204.4
19480701 19480731    27.1
19480801 19480831     4.8
19480901 19480930    38.5
19481001 19481031    30.8
19481101 19481130    20.1
19481201 19481231    69.0
19490101 19490131   212.4
19490201 19490228   103.9
19490301 19490331   167.2
19490401 19490430    24.9
19490501 19490531   168.8
19490601 19490630   560.5
19490701 19490731    32.7
19490801 19490831    56.9
19490901 19490930   109.4
19491001 19491031    64.5
19491101 19491130    65.3
19491201 19491231    65.7
19500101 19500131   156.6
19500201 19500228   197.2
19500301 19500331   329.7
19500401 19500430   177.7
19500501 19500531   141.0
19500601 19500630   657.2
19500701 19500731   213.0
19500801 19500831    47.6
19500901 19500930    57.3
19501001 19501031   170.8
19501101 19501130   127.7
19501201 19501231    17.3
19510101 19510131   579.5
19510201 19510228   182.4
19510301 19510331    80.8
19510401 19510430     9.2
19510501 19510531   123.5
19510601 19510630   486.6
19510701 19510731    47.0
19510801 19510831    82.1
19510901 19510930   121.9
19511001 19511031    27.9
19511101 19511130    16.5
19511201 19511231    53.5
19520101 19520131    40.2
19520201 19520229    53.2
19520301 19520331   135.4
19520401 19520430   236.2
19520501 19520531    34.7
19520601 19520630   251.7
19520701 19520731   279.7
19520801 19520831   409.6
19520901 19520930     5.6
19521001 19521031   140.1
19521101 19521130    44.8
19521201 19521231   102.1
19530101 19530131    94.7
19530201 19530228   114.6
19530301 19530331    76.4
19530401 19530430    21.1
19530501 19530531   304.6
19530601 19530630     1.1
19530701 19530731    18.3
19530801 19530831    57.6
19530901 19530930    60.7
19531001 19531031    75.2
19531101 19531130    48.9
19531201 19531231    19.3
19540101 19540131   126.6
19540201 19540228   426.5
19540301 19540331     3.8
19540401 19540430    57.7
19540501 19540531    13.1
19540601 19540630     9.0
19540701 19540731    68.5
19540801 19540831    38.9
19540901 19540930    47.0
19541001 19541031   118.3
19541101 19541130   124.2
19541201 19541231    42.6
19550101 19550131   109.5
19550201 19550228   231.7
19550301 19550331    73.1
19550401 19550430    92.9
19550501 19550531   208.6
19550601 19550630    20.9
19550701 19550731    21.3
19550801 19550831    14.0
19550901 19550930    37.4
19551001 19551031    58.0
19551101 19551130   122.8
19551201 19551231   166.3
19560101 19560131    98.7
19560201 19560229   702.8
19560301 19560331   344.4
19560401 19560430    30.2
19560501 19560531   114.0
19560601 19560630   184.8
19560701 19560731    56.0
19560801 19560831    57.8
19560901 19560930    44.7
19561001 19561031   118.5
19561101 19561130     7.9
19561201 19561231    32.6
19570101 19570131    33.2
19570201 19570228   260.3
19570301 19570331    26.9
19570401 19570430    10.4
19570501 19570531     5.1
19570601 19570630    66.2
19570701 19570731   184.2
19570801 19570831   124.0
19570901 19570930     3.1
19571001 19571031     9.1
19571101 19571130    16.2
19571201 19571231    66.6
19580101 19580131    96.6
19580201 19580228   188.3
19580301 19580331   293.9
19580401 19580430    76.4
19580501 19580531     7.4
19580601 19580630   162.1
19580701 19580731    36.4
19580801 19580831    61.0
